index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 14.820520417021635, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.56924665]
index: 3,  smile: Cc1ccccc1-c1ccccc1, fitness: 15.690248337984576, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.5635711]
index: 4,  smile: Cc1ccccc1-c1ccccc1, fitness: 15.306664315462603, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.5461355]
index: 5,  smile: Cc1ccccc1-c1ccccc1, fitness: 14.942313042879595, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.52957404]
index: 6,  smile: CSc1ccccc1CCc1ccccc1, fitness: 14.785843034390362, logP: 4.193700000000003, sas: 1.6707186881142881, ringP: 0, discrm: [0.53378385]
index: 7,  smile: C=Cc1ccccc1CCc1ccccc1-c1ccccc1, fitness: 15.756162814902442, logP: 5.781800000000005, sas: 1.8768272625122009, ringP: 0, discrm: [0.5381813]
index: 8,  smile: CC=CCc1ccccc1SC=CC=CC=CC=Cc1ccccc1, fitness: 15.537905762153441, logP: 7.236800000000006, sas: 3.021533564658972, ringP: 0, discrm: [0.5441878]
index: 9,  smile: CC=CCc1ccccc1SC=CC=CC=CC=Cc1ccccc1, fitness: 15.164014885383422, logP: 7.236800000000006, sas: 3.021533564658972, ringP: 0, discrm: [0.5271928]
index: 10,  smile: C=Cc1ccccc1CCCCCc1ccccc1CC=Cc1ccccc1C, fitness: 15.165840706499292, logP: 7.849420000000007, sas: 2.3933376817022207, ringP: 0, discrm: [0.4732311]
index: 11,  smile: CCOCCC=CC=CC=CSC=CC=CC=CC=Cc1ccccc1, fitness: 14.704376137033059, logP: 7.111800000000007, sas: 3.467637281671453, ringP: 0, discrm: [0.534725]
index: 12,  smile: C=Cc1ccccc1CNCc1cnccc1C=CC=CSC=CS, fitness: 15.136451142280023, logP: 5.675500000000005, sas: 3.526092332067053, ringP: 0, discrm: [0.6036767]
index: 13,  smile: Sc1ccccc1-c1cnccc1Oc1cccs1, fitness: 15.265700725069234, logP: 4.891100000000002, sas: 2.685480811656385, ringP: 0, discrm: [0.58873516]
index: 14,  smile: CC=Cc1ccccc1CCC1SC=CC=C1C=CC=CC=C1OOS1, fitness: 15.235795101897956, logP: 6.771600000000005, sas: 4.541568997629983, ringP: 0, discrm: [0.6285705]
index: 15,  smile: C=Cc1c(CCc2cccnc2)ccnc1C=Cc1cscc1S, fitness: 15.609485384331194, logP: 5.425400000000003, sas: 3.282719177616392, ringP: 0, discrm: [0.6198899]
index: 16,  smile: CC=CC=COc1cnccc1OSc1cccs1, fitness: 15.15796936780198, logP: 4.697800000000003, sas: 3.5889250424256156, ringP: 0, discrm: [0.6394826]
index: 17,  smile: O=CC=CC=COc1cnccc1OSc1cccs1, fitness: 14.954570354644112, logP: 3.876800000000002, sas: 3.6696104498894826, ringP: 0, discrm: [0.6610111]
index: 18,  smile: O=CC=CC=CNOc1cnccc1OSc1cccs1, fitness: 15.400762800803427, logP: 3.381400000000001, sas: 3.831610866089738, ringP: 0, discrm: [0.7060626]
index: 19,  smile: O=CC=CC=CNOc1cnccc1OSCc1cccs1, fitness: 14.472536572942083, logP: 3.5225000000000017, sas: 3.7131276175417867, ringP: 0, discrm: [0.65285677]
index: 20,  smile: C=Cc1ccccc1SOCNCc1cnccc1N=CC=C1CNS1, fitness: 15.443544371834898, logP: 4.333200000000002, sas: 3.9382213922976685, ringP: 0, discrm: [0.6832832]
index: 21,  smile: FCc1cccc2c(C=CCC=COc3cnccc3OSc3cccs3)cccc12, fitness: 15.977890998046892, logP: 7.847900000000005, sas: 3.3965391551074147, ringP: 0, discrm: [0.56508857]
index: 22,  smile: C1=CC(CCC=Cc2cccc3c(C=C4OSC4c4ccccc4)ccnc23)=CC1, fitness: 16.31807555096783, logP: 7.675100000000005, sas: 3.9157201805806263, ringP: 0, discrm: [0.61451]
index: 23,  smile: Fc1cccc2c(NCCC=COc3cnccc3OSc3cccs3)cccc12, fitness: 17.452460690299546, logP: 6.9162000000000035, sas: 3.166850696523844, ringP: 0, discrm: [0.6494581]
index: 24,  smile: C(Cc1ccncc1CCc1ccccc1)=C1OSC12SNS2, fitness: 15.937082853105336, logP: 4.525000000000003, sas: 4.1079632058841415, ringP: 0, discrm: [0.7088476]
index: 25,  smile: C=CC=CC=CC=CC(=CC=CC=CCCc1ccccc1Cc1ccccc1C)SCc1ccccc1CCc1ccccc1-c1ccccc1C=CCc1ccccc1CC=CC=C, fitness: 15.138236107576025, logP: 17.29551999999997, sas: 4.183119515168836, ringP: 0, discrm: [0.26664546]
index: 26,  smile: CC=CC=CC=CCC(=CC=CC=CCCc1ccccc1Cc1ccccc1C)SCc1ccccc1CCc1ccccc1-c1ccccc1C=Cc1ccccc1C=CC=CC, fitness: 15.509481154965659, logP: 17.73861999999998, sas: 4.050624541982934, ringP: 0, discrm: [0.2620439]
index: 27,  smile: N#SSc1cccc2c(=[SH]NCn3ncc4ccccc43)ncoc12, fitness: 16.29012929435343, logP: 4.5569700000000015, sas: 4.013717140542547, ringP: 0, discrm: [0.7187114]
index: 28,  smile: FSC1SOC1=Cc1ccccc1-c1ccncc1SOc1ccccc1, fitness: 16.445827173594957, logP: 6.797800000000004, sas: 3.9237403789112255, ringP: 0, discrm: [0.6489219]
index: 29,  smile: FSC1SOC1=Cc1ccccc1-c1ccncc1SOc1ccccc1, fitness: 15.566695856456287, logP: 6.797800000000004, sas: 3.9237403789112255, ringP: 0, discrm: [0.6089614]
index: 30,  smile: FSC1SOC1=Cc1ccccc1-c1ccncc1SOc1ccccc1, fitness: 17.80095260084105, logP: 6.797800000000004, sas: 3.9237403789112255, ringP: 0, discrm: [0.71051854]
index: 31,  smile: FSC1SOC1=Cc1ccccc1-c1ccncc1SOc1ccccc1, fitness: 16.3413025611682, logP: 6.797800000000004, sas: 3.9237403789112255, ringP: 0, discrm: [0.6441708]
index: 32,  smile: Fc1ccccc1C=CN=CN(F)Sc1cnccc1OSc1cccs1, fitness: 15.88678903852525, logP: 6.261100000000003, sas: 3.7877018138341256, ringP: 0, discrm: [0.6332978]
index: 33,  smile: Fc1ccccc1C=CN=CN(F)Sc1cnccc1Oc1cccs1, fitness: 15.776101568391793, logP: 5.967300000000003, sas: 3.5683359671964547, ringP: 0, discrm: [0.625695]
index: 34,  smile: Fc1ccccc1C=CN=CN(F)Sc1cnccc1Oc1cccs1, fitness: 16.148213842561717, logP: 5.967300000000003, sas: 3.5683359671964547, ringP: 0, discrm: [0.6426092]
index: 35,  smile: FC=CN=CC=COSC1CC1Nc1ccccc1Cc1ccccc1C=CF, fitness: 17.713439623118393, logP: 6.460400000000004, sas: 4.739226477829898, ringP: 0, discrm: [0.7619982]
index: 36,  smile: FC=CN=CC=COSC1CC1Nc1ccccc1Cc1ccccc1C=CF, fitness: 17.30185095429515, logP: 6.460400000000004, sas: 4.739226477829898, ringP: 0, discrm: [0.7432896]
index: 37,  smile: FC=COSC1CC1Nc1ccccc1Cc1ccccc1C=CF, fitness: 17.164391485562508, logP: 5.875900000000003, sas: 4.248386461362771, ringP: 0, discrm: [0.7289473]
