index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 2.8417751353253156, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.5446808]
index: 3,  smile: Cc1cccc2ccccc12, fitness: 3.2880436429414925, logP: 3.148220000000002, sas: 1.3106820670664607, ringP: 0, discrm: [0.55044645]
index: 4,  smile: Cc1ccccc1-c1ccccc1, fitness: 3.8275123512749816, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.53582835]
index: 5,  smile: Cc1cccc2c(-c3ccccc3)cccc12, fitness: 4.30120682829504, logP: 4.815220000000004, sas: 1.4329764279944026, ringP: 0, discrm: [0.53340197]
index: 6,  smile: Cc1cccc2c(-c3ccccc3)cccc12, fitness: 4.292316974340725, logP: 4.815220000000004, sas: 1.4329764279944026, ringP: 0, discrm: [0.5245121]
index: 7,  smile: c1ccc(-c2ccccc2-c2ccccc2)cc1, fitness: 4.93904344460217, logP: 5.0206000000000035, sas: 1.0, ringP: 0, discrm: [0.50492007]
index: 8,  smile: c1ccc(-c2ccccc2-c2ccccc2)cc1, fitness: 4.885765534846463, logP: 5.0206000000000035, sas: 1.0, ringP: 0, discrm: [0.45164216]
index: 9,  smile: c1ccc2c(c1)c1ccccc1c1ccccc21, fitness: 4.912023013591776, logP: 5.146200000000003, sas: 1.0, ringP: 0, discrm: [0.3891858]
index: 10,  smile: c1ccc2c(c1)c1ccccc1c1ccccc21, fitness: 4.848019307613383, logP: 5.146200000000003, sas: 1.0, ringP: 0, discrm: [0.32518208]
index: 11,  smile: c1ccc2c(c1)c1ccccc1c1ccccc21, fitness: 4.796927636623392, logP: 5.146200000000003, sas: 1.0, ringP: 0, discrm: [0.2740904]
index: 12,  smile: c1ccc2c(c1)c1ccccc1c1ccccc21, fitness: 4.76364496922494, logP: 5.146200000000003, sas: 1.0, ringP: 0, discrm: [0.24080774]
index: 13,  smile: C(=CC=Cc1ccccc1-c1ccccc1-c1ccccc1)C=Cc1ccccc1, fitness: 5.627519816539473, logP: 8.303400000000005, sas: 2.1284290603596965, ringP: 0, discrm: [0.23318805]
index: 14,  smile: C(=CC=Cc1ccccc1-c1ccccc1-c1ccccc1)C=Cc1ccccc1, fitness: 5.6029447618939345, logP: 8.303400000000005, sas: 2.1284290603596965, ringP: 0, discrm: [0.208613]
index: 15,  smile: c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2)cc1, fitness: 5.734120435228746, logP: 6.687600000000005, sas: 1.052922015068658, ringP: 0, discrm: [0.18627296]
index: 16,  smile: c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2)cc1, fitness: 5.724647275319498, logP: 6.687600000000005, sas: 1.052922015068658, ringP: 0, discrm: [0.1767998]
index: 17,  smile: CCCCOc1cccc2c(-c3ccccc3-c3ccccc3C=Cc3ccccc3)cccc12, fitness: 6.368431672757149, logP: 9.523099999999998, sas: 2.1807429089431736, ringP: 0, discrm: [0.17558078]
index: 18,  smile: c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2)cc1, fitness: 6.805364689577808, logP: 8.354600000000005, sas: 1.1195146313685314, ringP: 0, discrm: [0.16025098]
index: 19,  smile: c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2)cc1, fitness: 6.798700756181469, logP: 8.354600000000005, sas: 1.1195146313685314, ringP: 0, discrm: [0.15358704]
index: 20,  smile: c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2)cc1, fitness: 6.792625761378994, logP: 8.354600000000005, sas: 1.1195146313685314, ringP: 0, discrm: [0.14751205]
