index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 9.927103535460356, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.38150045]
index: 3,  smile: CCc1ccccc1, fitness: 11.169471162914784, logP: 2.2490000000000006, sas: 1.0, ringP: 0, discrm: [0.4346493]
index: 4,  smile: Cc1ccccc1-c1ccccc1, fitness: 12.893137780428424, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.4800727]
index: 5,  smile: CCc1ccccc1-c1ccccc1, fitness: 13.120562766464868, logP: 3.916000000000003, sas: 1.292069328656492, ringP: 0, discrm: [0.49091297]
index: 6,  smile: CCCc1cccc2c1ccc1ccccc12, fitness: 13.286454707806955, logP: 4.945500000000004, sas: 1.6227379664559418, ringP: 0, discrm: [0.48275408]
index: 7,  smile: CCC=CC=CCc1ccccc1Cc1ccccc1, fitness: 12.839600012291097, logP: 5.342300000000005, sas: 2.25209754245793, ringP: 0, discrm: [0.48428184]
index: 8,  smile: C=CSCc1ccccc1-c1ccccc1Cc1ccccc1C, fitness: 13.412226209911246, logP: 6.629520000000006, sas: 2.295585331462547, ringP: 0, discrm: [0.47007138]
index: 9,  smile: C=CSCc1ccccc1-c1ccccc1CC=CC=CC=CC, fitness: 12.339985762747967, logP: 6.961300000000006, sas: 3.0131147820119963, ringP: 0, discrm: [0.44793338]
index: 10,  smile: CSc1ccccc1Cc1cccc2c(SC=CC=CC=N)cccc12, fitness: 12.358060411207276, logP: 6.964070000000004, sas: 3.0604535785324867, ringP: 0, discrm: [0.4515888]
index: 11,  smile: CSc1ccccc1Cc1cccc2c(SC=CC=CC=[SH]N)cccc12, fitness: 11.888237368313373, logP: 6.455900000000004, sas: 3.4573010348662585, ringP: 0, discrm: [0.46993217]
index: 12,  smile: CSc1ccccc1CC(=CC=N)CSc1ccnc2ccccc12, fitness: 12.406753191443382, logP: 5.867470000000004, sas: 2.9345030802230063, ringP: 0, discrm: [0.4851695]
index: 13,  smile: CSc1ccccc1CC(=CC=N)SSc1ccnc2ccccc12, fitness: 13.115894236930139, logP: 6.473170000000004, sas: 3.1943252087793823, ringP: 0, discrm: [0.5148755]
index: 14,  smile: CSC1=CSCC=C1Cc1cccc2c(SCCC=N)ccnc12, fitness: 12.54894222189609, logP: 5.7866700000000035, sas: 3.7206433534405674, ringP: 0, discrm: [0.54245365]
index: 15,  smile: CSC1=CSCC=C1OCc1cccc2c(SCCC=N)ccnc12, fitness: 12.598951322063176, logP: 5.718270000000004, sas: 3.6592297398647355, ringP: 0, discrm: [0.543673]
