index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 2.297094361113432, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.5226531]
index: 3,  smile: CCc1cccc2ccccc12, fitness: 2.8278853361443472, logP: 3.4022000000000023, sas: 1.384694968001245, ringP: 0, discrm: [0.5527483]
index: 4,  smile: c1ccc(-c2ccccc2)cc1, fitness: 3.2566871940218136, logP: 3.353600000000001, sas: 1.0, ringP: 0, discrm: [0.53478307]
index: 5,  smile: Cc1ccccc1-c1ccccc1, fitness: 3.2916839993004943, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.508954]
index: 6,  smile: CCc1ccccc1-c1cccc2c(C)cccc12, fitness: 3.86502619988582, logP: 5.377620000000004, sas: 1.6821804120559847, ringP: 0, discrm: [0.5231271]
index: 7,  smile: CCc1ccccc1-c1cccc2c(C)cccc12, fitness: 3.86502619988582, logP: 5.377620000000004, sas: 1.6821804120559847, ringP: 0, discrm: [0.51849276]
index: 8,  smile: Cc1cccc2c(-c3ccccc3)cccc12, fitness: 3.76780486220007, logP: 4.815220000000004, sas: 1.4329764279944026, ringP: 0, discrm: [0.4722104]
index: 9,  smile: Cc1ccccc1-c1ccccc1-c1ccccc1, fitness: 4.199724447388695, logP: 5.329020000000003, sas: 1.3756519655025397, ringP: 0, discrm: [0.43954697]
index: 10,  smile: Cc1ccccc1-c1ccccc1-c1ccccc1, fitness: 4.199724447388695, logP: 5.329020000000003, sas: 1.3756519655025397, ringP: 0, discrm: [0.37031803]
index: 11,  smile: Cc1ccccc1-c1ccccc1-c1ccccc1, fitness: 4.199724447388695, logP: 5.329020000000003, sas: 1.3756519655025397, ringP: 0, discrm: [0.29632494]
index: 12,  smile: Cc1ccccc1-c1ccccc1-c1ccccc1, fitness: 4.199724447388695, logP: 5.329020000000003, sas: 1.3756519655025397, ringP: 0, discrm: [0.23999636]
index: 13,  smile: C=Cc1cccc2c(CC=Cc3cccc4ccccc34)cccc12, fitness: 4.213650733734039, logP: 6.891900000000005, sas: 2.281026288151695, ringP: 0, discrm: [0.23715262]
index: 14,  smile: c1ccc(-c2cccc3c(-c4ccccc4)cccc23)cc1, fitness: 4.934882953610054, logP: 6.173800000000004, sas: 1.2606302146641344, ringP: 0, discrm: [0.17441417]
index: 15,  smile: c1ccc(-c2cccc3c(-c4ccccc4)cccc23)cc1, fitness: 4.934882953610054, logP: 6.173800000000004, sas: 1.2606302146641344, ringP: 0, discrm: [0.16061768]
index: 16,  smile: c1ccc(-c2cccc3c(-c4ccccc4)cccc23)cc1, fitness: 4.934882953610054, logP: 6.173800000000004, sas: 1.2606302146641344, ringP: 0, discrm: [0.15065408]
index: 17,  smile: C(=Cc1cccc2c1ccc1c(-c3ccccc3)cccc12)c1ccccc1, fitness: 5.320886348692374, logP: 7.830400000000006, sas: 1.911926775431894, ringP: 0, discrm: [0.14240636]
index: 18,  smile: Cc1cccc2c(-c3cccc4c(-c5ccccc5)cccc34)cccc12, fitness: 5.44228618792516, logP: 7.635420000000005, sas: 1.6966920117859754, ringP: 0, discrm: [0.13482788]
index: 19,  smile: Cc1ccccc1-c1cccc2c(-c3cccc4c(C)cccc34)cccc12, fitness: 5.688349893382215, logP: 7.943840000000005, sas: 1.673250968090004, ringP: 0, discrm: [0.12899567]
index: 20,  smile: c1ccc(-c2ccccc2-c2cccc3c(-c4ccccc4)cccc23)cc1, fitness: 5.918179778854677, logP: 7.840800000000005, sas: 1.4218907484697816, ringP: 0, discrm: [0.12289771]
index: 21,  smile: Cc1ccccc1-c1cccc2c(CC=CCc3cccc4c(-c5ccccc5)cccc34)cccc12, fitness: 6.358289293039806, logP: 9.976819999999993, sas: 2.3095202679302105, ringP: 0, discrm: [0.11835905]
index: 22,  smile: Cc1ccccc1-c1cccc2c(CC=CCCc3cccc4c3ccc3c(-c5ccccc5)cccc34)cccc12, fitness: 7.184898208083151, logP: 11.520119999999983, sas: 2.5283577227649836, ringP: 0, discrm: [0.11362638]
