index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 32.28095819167984, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.59967726]
index: 3,  smile: CCc1ccccc1, fitness: 31.141351122021227, logP: 2.2490000000000006, sas: 1.0, ringP: 0, discrm: [0.5732973]
index: 4,  smile: c1ccc(Cc2ccccc2)cc1, fitness: 31.130726331313994, logP: 3.277400000000002, sas: 1.0284255677733025, ringP: 0, discrm: [0.55924165]
index: 5,  smile: c1ccc(COCc2ccccc2)cc1, fitness: 30.365969405676616, logP: 3.403400000000002, sas: 1.2530808111116087, ringP: 0, discrm: [0.5475758]
index: 6,  smile: c1ccc(COCc2ccccc2)cc1, fitness: 30.02025674393345, logP: 3.403400000000002, sas: 1.2530808111116087, ringP: 0, discrm: [0.5406615]
index: 7,  smile: c1ccc(CCc2cccc3ccccc23)cc1, fitness: 30.46634827818371, logP: 4.6250000000000036, sas: 1.4144820926585808, ringP: 0, discrm: [0.5362127]
index: 8,  smile: c1ccc(COc2ccccc2-c2ccccc2)cc1, fitness: 29.82464290084511, logP: 4.932600000000004, sas: 1.339840410776052, ringP: 0, discrm: [0.5172361]
index: 9,  smile: O=CCc1ccccc1-c1ccccc1OCc1ccccc1, fitness: 29.183025203192525, logP: 4.674000000000003, sas: 1.8869476915258687, ringP: 0, discrm: [0.5212299]
index: 10,  smile: O=NCC1=COCc2c(C=CC=CCc3ccccc3)cccc21, fitness: 28.924226950414262, logP: 5.136200000000004, sas: 3.223313410707245, ringP: 0, discrm: [0.5417014]
index: 11,  smile: COc1ccccc1OCCOCC1CO1, fitness: 29.900315460283604, logP: 1.4894, sas: 2.2967639208496298, ringP: 0, discrm: [0.59043014]
index: 12,  smile: COc1cnccc1C=CC=COCC1CO1, fitness: 30.53469057914707, logP: 2.0324999999999998, sas: 3.50482208604092, ringP: 0, discrm: [0.6245329]
index: 13,  smile: COc1cnccc1C=CC=COCC1NO1, fitness: 31.80295339806794, logP: 1.4946, sas: 3.961050029526005, ringP: 0, discrm: [0.66848165]
index: 14,  smile: COc1ccccc1C=CC=CNOCSOC1CO1, fitness: 32.62280941212231, logP: 2.7219000000000007, sas: 3.9038262933664996, ringP: 0, discrm: [0.6661636]
index: 15,  smile: O[SH]=c1occc2c(CCNc3cccnc3)cccc12, fitness: 34.07182808323976, logP: 3.952890000000002, sas: 3.065742131598422, ringP: 0, discrm: [0.65757537]
index: 16,  smile: CONc1ccccc1C=CCOCNOCSOC1CO1, fitness: 33.77979343476492, logP: 2.1470000000000002, sas: 4.2525980627215, ringP: 0, discrm: [0.7058222]
index: 17,  smile: O[SH]=c1oc2ccc1cc2Cc1ccccc1CCc1cccnc1, fitness: 34.848560388840866, logP: 5.112090000000004, sas: 3.7426519755597925, ringP: 0, discrm: [0.6730332]
index: 18,  smile: O[SH]=c1oc2ccc1cc2-c1ccccc1C=CC=CC=CCCc1cccnc1, fitness: 35.290587196011685, logP: 7.161490000000006, sas: 4.128500177993937, ringP: 0, discrm: [0.6622134]
index: 19,  smile: O[SH]=c1oc2ccc1cc2Cc1ccccc1CCCc1ccc[nH]1, fitness: 34.572758354884705, logP: 5.435290000000004, sas: 4.026153846661663, ringP: 0, discrm: [0.6697775]
index: 20,  smile: O[SH]=c1occc2c(-c3ccccc3Cc3ccccc3-c3ccccc3-c3cccnn3)cccc12, fitness: 32.886543370357884, logP: 8.285090000000006, sas: 3.0338839376266904, ringP: 0, discrm: [0.5719042]
index: 21,  smile: O[SH]=c1oc2ccc1cc2-c1ccccc1C=CC=CCOCCc1ccc[nH]1, fitness: 31.011326718015535, logP: 6.164890000000004, sas: 4.346423689236822, ringP: 0, discrm: [0.59595364]
index: 22,  smile: C(=Cc1ccc2cc1CC=C2COc1ccccc1C1CC1)Oc1cccs1, fitness: 30.636097881666707, logP: 6.693700000000005, sas: 3.844219921447811, ringP: 0, discrm: [0.56888694]
index: 23,  smile: C(=CC=CC=COCC1=CCc2cc1ccc2C=COc1cccs1)=C1CC1, fitness: 30.434511566186636, logP: 6.699100000000004, sas: 4.90721083896403, ringP: 0, discrm: [0.59037334]
index: 24,  smile: C(=CC=CC=COCC1=CCc2cc1ccc2C=COc1cccs1)=C1CC1, fitness: 30.031631851220816, logP: 6.699100000000004, sas: 4.90721083896403, ringP: 0, discrm: [0.58231574]
index: 25,  smile: C(=CC=CC=CSOCC1=CCc2cc1ccc2C=COc1cccs1)=C1CC1, fitness: 31.531437151411673, logP: 7.347300000000005, sas: 5.132349091741295, ringP: 0, discrm: [0.60857594]
index: 26,  smile: c1ccc(NOCCOCNOOC[SH]2OCOO2)cc1, fitness: 31.476717830154513, logP: 1.1816, sas: 4.748195042999879, ringP: 0, discrm: [0.6853312]
index: 27,  smile: C=COC1C(=CCc2ccccc2C=COc2cccs2)CC1=C1CC1, fitness: 31.734401497793538, logP: 6.289500000000004, sas: 4.262960698034841, ringP: 0, discrm: [0.6066452]
index: 28,  smile: C=COC1C(=CCCC=CC=CC=COc2cccs2)CC1=C1CC1, fitness: 32.305323787096256, logP: 6.482400000000005, sas: 4.67813196779147, ringP: 0, discrm: [0.6253351]
index: 29,  smile: C=C1OC2C(=CCCC=CC=CC=COc3cccs3)C13CC(C)=C23, fitness: 32.704944752106755, logP: 6.092300000000004, sas: 6.179277023010936, ringP: 0, discrm: [0.67498237]
index: 30,  smile: C=C1OC2C(=CCCC=CC=CC=COc3cccs3)C13CC(C)=C23, fitness: 32.945430897126286, logP: 6.092300000000004, sas: 6.179277023010936, ringP: 0, discrm: [0.6797921]
index: 31,  smile: C=C1OC2C(=CC)C1C2=CCCC=CC=CC=COc1nccs1, fitness: 34.300128138601536, logP: 5.343200000000004, sas: 5.759293201675238, ringP: 0, discrm: [0.7073559]
index: 32,  smile: N, fitness: 35.52492112847536, logP: 0.16199999999999998, sas: 6.667815384615385, ringP: 0, discrm: [0.8269186]
index: 33,  smile: NF, fitness: 36.34319807799619, logP: -0.17039999999999988, sas: 4.01979868818016, ringP: 0, discrm: [0.7842216]
index: 34,  smile: N, fitness: 34.45695466729372, logP: 0.16199999999999998, sas: 6.667815384615385, ringP: 0, discrm: [0.8055593]
index: 35,  smile: Fc1ccccc1CSCC=Cc1ccccc1Cc1cccnc1-c1ccc[nH]1, fitness: 34.29042598489554, logP: 6.753200000000006, sas: 2.7922406705947154, ringP: 0, discrm: [0.6158037]
index: 36,  smile: Fc1ccccc1CSCCc1ccccc1-c1ccccc1Cc1cccnc1-c1cccs1, fitness: 31.515100535129932, logP: 8.682900000000004, sas: 2.5470176130851865, ringP: 0, discrm: [0.52713305]
index: 37,  smile: COC1OC(=CCc2ccccc2-c2ccccc2Cc2cccs2)CCC1=C1CC1, fitness: 31.443091749973412, logP: 7.305600000000005, sas: 3.6095443907516813, ringP: 0, discrm: [0.5707324]
index: 38,  smile: FCN(N=[SH]c1ccccc1F)c1ccccc1N=CCOC1OCCO1, fitness: 30.561898728625113, logP: 3.581000000000002, sas: 4.185415932626727, ringP: 0, discrm: [0.61958945]
index: 39,  smile: O=NN=NCc1ccccc1CCOC1OCCO1, fitness: 30.896774542402913, logP: 2.2096999999999998, sas: 3.477132185282759, ringP: 0, discrm: [0.62860465]
index: 40,  smile: O=NN=NCc1ccccc1CCOC1OCCO1, fitness: 29.968012106489827, logP: 2.2096999999999998, sas: 3.477132185282759, ringP: 0, discrm: [0.6100294]
index: 41,  smile: COC1OC(=[SH]CCc2cccc3c(SCc4cccs4)cccc23)CCC1=C1CC1, fitness: 31.911844944633483, logP: 7.204800000000007, sas: 4.071983105882703, ringP: 0, discrm: [0.5926659]
index: 42,  smile: COC1OC(=[SH]CCc2cccc3c(SCc4cccs4)cccc23)CCC1=C1CC1, fitness: 29.381294941581725, logP: 7.204800000000007, sas: 4.071983105882703, ringP: 0, discrm: [0.5420549]
index: 43,  smile: FCCSCCC=COC(F)c1cccc2[nH]ccc12, fitness: 30.365406486586586, logP: 4.759100000000003, sas: 3.7924745692285686, ringP: 0, discrm: [0.58955616]
index: 44,  smile: CON1OC(=CCc2cccc3c(Cc4cccs4)cccc23)CCC1=C1CC1, fitness: 28.590273790232615, logP: 6.555200000000005, sas: 3.383885012018963, ringP: 0, discrm: [0.5188432]
index: 45,  smile: CON1OC(=CCc2cccc3c(Cc4cccs4)cccc23)CCC1=C1CC1, fitness: 29.44527905451484, logP: 6.555200000000005, sas: 3.383885012018963, ringP: 0, discrm: [0.53594327]
index: 46,  smile: O=NN=NCc1ccccc1CCOS1(F)OCCO1, fitness: 28.935039965891292, logP: 3.3602000000000025, sas: 4.232139137566504, ringP: 0, discrm: [0.5912964]
index: 47,  smile: FCCSCCC=COC(F)=Nc1cccc2[nH]ccc12, fitness: 27.61356030202066, logP: 4.748000000000003, sas: 3.6141038978596596, ringP: 0, discrm: [0.53038126]
index: 48,  smile: COC1OC(=Cc2cccc3c(-c4ccccc4-c4cccs4)cccc23)CCC1=C1CC1, fitness: 29.519410285580907, logP: 8.449500000000002, sas: 3.452326669846423, ringP: 0, discrm: [0.51231414]
index: 49,  smile: FCCSCCC=COC(F)=Nc1cccc2[nH]ccc12, fitness: 28.596920592548003, logP: 4.748000000000003, sas: 3.6141038978596596, ringP: 0, discrm: [0.5500485]
index: 50,  smile: CC(OC1CCCC1F)c1cccc2[nH]ccc12, fitness: 28.09788135770426, logP: 4.1361000000000026, sas: 3.55948636073004, ringP: 0, discrm: [0.5473966]
index: 51,  smile: CON1C(=CCc2ccccc2-c2ccccc2Oc2cccs2)CCC1=C1CC1, fitness: 29.928416185871196, logP: 7.338900000000005, sas: 3.295681025745184, ringP: 0, discrm: [0.5324114]
index: 52,  smile: C=CON1OC(=CCc2ccccc2Nc2ccccc2-c2cccs2)CC1=C1CC1, fitness: 30.59233655913188, logP: 7.345400000000004, sas: 3.4579802885559054, ringP: 0, discrm: [0.5495058]
index: 53,  smile: O=NN=NNc1ccccc1COC1OCCO1, fitness: 29.453892639663778, logP: 1.9940999999999995, sas: 3.4789045406508405, ringP: 0, discrm: [0.60283536]
index: 54,  smile: O=NN=NNC=CC=CCCCOC1OCCO1, fitness: 30.157348281904618, logP: 1.8216999999999999, sas: 4.214038648052873, ringP: 0, discrm: [0.6370402]
index: 55,  smile: O=NN=NNc1ccccc1C=C1OCCO1, fitness: 26.562225652522976, logP: 2.4923, sas: 3.6788281203020947, ringP: 0, discrm: [0.54277796]
index: 56,  smile: C=[SH]N1OC(=CC=Cc2ccccc2-c2cccc3sccc23)CCC1=C1CC1, fitness: 28.931861579786432, logP: 7.3532000000000055, sas: 3.711406821973714, ringP: 0, discrm: [0.522288]
index: 57,  smile: FON1C(=CCc2ccccc2-c2cccc3sccc23)CCC1=C1CC1, fitness: 29.33177707077924, logP: 6.954500000000004, sas: 3.3734231380795023, ringP: 0, discrm: [0.52778065]
index: 58,  smile: CCc1ccccc1COCCc1ccccc1NN=NN=O, fitness: 28.026675026807887, logP: 4.468800000000003, sas: 2.7787170404824444, ringP: 0, discrm: [0.52247345]
