index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 13.14446736984146, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.4519739]
index: 3,  smile: c1ccc(-c2ccccc2)cc1, fitness: 15.350502043875329, logP: 3.353600000000001, sas: 1.0, ringP: 0, discrm: [0.50390893]
index: 4,  smile: c1ccc(Cc2ccccc2)cc1, fitness: 15.714559072097687, logP: 3.277400000000002, sas: 1.0284255677733025, ringP: 0, discrm: [0.52274644]
index: 5,  smile: Cc1ccccc1-c1ccccc1, fitness: 15.489111748934283, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.50822616]
index: 6,  smile: C(=Cc1cccc2ccccc12)Cc1ccccc1, fitness: 15.643658397597571, logP: 5.0957000000000034, sas: 1.7757525872492153, ringP: 0, discrm: [0.503767]
index: 7,  smile: C(=Cc1cccc2ccccc12)Cc1ccccc1, fitness: 15.178116557997962, logP: 5.0957000000000034, sas: 1.7757525872492153, ringP: 0, discrm: [0.48436943]
index: 8,  smile: c1ccc(-c2ccccc2-c2ccccc2)cc1, fitness: 14.762276989428678, logP: 5.0206000000000035, sas: 1.0, ringP: 0, discrm: [0.43033972]
index: 9,  smile: CCC=Cc1ccccc1C=CC=Cc1ccccc1C, fitness: 14.12765715077341, logP: 6.144820000000005, sas: 2.4346476557411236, ringP: 0, discrm: [0.4427761]
index: 10,  smile: Cc1cccc2c(CC=Cc3cccc4c(N)cccc34)nccc12, fitness: 14.309636110529024, logP: 5.534520000000004, sas: 2.44206177358444, ringP: 0, discrm: [0.46869162]
index: 11,  smile: C=CC=CC=CC=C1C=C(C)N=C1CC=Cc1cccc2c(N)cccc12, fitness: 13.550684321670904, logP: 6.408500000000005, sas: 3.45398276657175, ringP: 0, discrm: [0.4621073]
index: 12,  smile: C=CCCCCC=CC=CC=CC1=CSSC=C1N, fitness: 13.766669625709829, logP: 5.480400000000005, sas: 4.005293139328714, ringP: 0, discrm: [0.5260755]
index: 13,  smile: C=CCCCCCC=CC=CC1=CSSC=C1N, fitness: 13.357661310739308, logP: 5.314300000000005, sas: 3.876573414157594, ringP: 0, discrm: [0.50746495]
index: 14,  smile: CN=NNc1ccncc1Nc1ncccc1C, fitness: 14.342562126265708, logP: 2.937520000000001, sas: 2.8459482662286018, ringP: 0, discrm: [0.56675303]
index: 15,  smile: Cc1cccnc1Nc1cnccc1NN=NCF, fitness: 14.728696468142678, logP: 3.234720000000001, sas: 3.118079433035007, ringP: 0, discrm: [0.58774596]
index: 16,  smile: CC=CSC=Cc1cccnc1Nc1ccccc1NN=NC, fitness: 13.88497194424006, logP: 5.471600000000004, sas: 3.4249976374973716, ringP: 0, discrm: [0.502155]
index: 17,  smile: NOc1cccc2c(=[SH]C=CC=CC=C[SH]=CCc3ccccn3)sccc12, fitness: 14.825545206958722, logP: 5.640290000000005, sas: 4.376843689240976, ringP: 0, discrm: [0.5841274]
index: 18,  smile: Nc1ccccc1-c1cccc2c(=[SH]Cc3ccccc3[SH]=CCc3ccccn3)sccc12, fitness: 15.592763397695755, logP: 7.612490000000006, sas: 3.695734938576863, ringP: 0, discrm: [0.5238872]
index: 19,  smile: N=Nc1ccccc1-c1cccc2c(=[SH]Cc3ccccc3[SH]=CCc3ccccn3)sccc12, fitness: 16.80594335742539, logP: 8.692760000000003, sas: 3.9068350687064877, ringP: 0, discrm: [0.5532332]
index: 20,  smile: Nc1ccccc1-c1cccc2c(=[SH]CSc3ccccc3[SH]=CC=Cc3ccccn3)sccc12, fitness: 16.390762417502792, logP: 8.632790000000002, sas: 3.8699956428924907, ringP: 0, discrm: [0.535851]
index: 21,  smile: S=CN=NN=Nc1cccc2c3ccc(c(CC=CC=Cc4ncccc4SSS)c3)c12, fitness: 15.731732388948092, logP: 8.631099999999998, sas: 4.801302464970133, ringP: 0, discrm: [0.5551573]
index: 22,  smile: NC=Nc1cccc2c(CC=NOC=CC=CC[SH]=CCc3ccccc3[SH]3OCC3=S)cccc12, fitness: 15.171700547269511, logP: 6.216200000000006, sas: 5.200869469207044, ringP: 0, discrm: [0.62293625]
index: 23,  smile: C(C=CC[SH]=C1CSC1)=CCCc1cccnc1-c1ccccc1, fitness: 15.352369873121987, logP: 5.178300000000005, sas: 3.415995317532813, ringP: 0, discrm: [0.5714768]
index: 24,  smile: C(=CONc1ccccc1Cc1ccc[nH]1)C[SH]=C1CSC1, fitness: 15.068121817667095, logP: 3.847400000000002, sas: 4.030230102748886, ringP: 0, discrm: [0.62961274]
index: 25,  smile: C=CC=COCCCc1cccn1CSC=C1CSC1, fitness: 15.422898980099026, logP: 4.458400000000004, sas: 3.9872746813330817, ringP: 0, discrm: [0.6242587]
index: 26,  smile: O=O, fitness: 16.563229386159914, logP: 0.067, sas: 3.373829457410931, ringP: 0, discrm: [0.77023983]
