index: 60,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 61,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 62,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 63,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 64,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 65,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 66,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 67,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 68,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 69,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 70,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 71,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 72,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 73,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 74,  smile: OC1=CC=CN=CC=C1c1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 75,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 76,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 77,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 78,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 79,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 80,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 81,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 82,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 83,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 84,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 85,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 86,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 87,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 88,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 89,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 90,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 91,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 92,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 93,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 94,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 95,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 96,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 97,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 98,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 99,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
index: 100,  smile: OC1=CC=CN=CC1=Cc1ccccc1Sc1ccccc1, fitness: -0.46167463673690723 
