index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 11.144312874602202, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.6319442]
index: 3,  smile: Cc1ccccc1C, fitness: 10.814216543900368, logP: 2.30344, sas: 1.0337432953498862, ringP: 0, discrm: [0.5957073]
index: 4,  smile: Cc1ccccc1-c1ccccc1, fitness: 11.27845892071773, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.5704839]
index: 5,  smile: c1ccc(-c2ccccc2)cc1, fitness: 10.849657088430993, logP: 3.353600000000001, sas: 1.0, ringP: 0, discrm: [0.542355]
index: 6,  smile: C(=CC=Cc1ccccc1)C=CCc1ccccc1, fitness: 10.94722678627239, logP: 5.0549000000000035, sas: 2.167538012350427, ringP: 0, discrm: [0.56389]
index: 7,  smile: Cc1ccccc1-c1ccccc1-c1ccccc1, fitness: 11.999271165986107, logP: 5.329020000000003, sas: 1.3756519655025397, ringP: 0, discrm: [0.5571105]
index: 8,  smile: Cc1ccccc1-c1ccccc1-c1ccccc1, fitness: 11.70828653540139, logP: 5.329020000000003, sas: 1.3756519655025397, ringP: 0, discrm: [0.5363259]
index: 9,  smile: c1ccc(-c2ccccc2-c2ccccc2)cc1, fitness: 11.367948872058072, logP: 5.0206000000000035, sas: 1.0, ringP: 0, discrm: [0.49527323]
index: 10,  smile: CC=CC=CC=Cc1ccccc1CCCc1ccccc1, fitness: 10.996643237902394, logP: 6.007400000000006, sas: 2.3132665524530296, ringP: 0, discrm: [0.5318962]
index: 11,  smile: CC=CCc1ccccc1Cc1ccccc1-c1ccccc1C, fitness: 10.440994559143984, logP: 6.371420000000006, sas: 2.122239397396612, ringP: 0, discrm: [0.45741487]
index: 12,  smile: C=CCc1ccccc1Cc1cccc2c(Cc3ccccc3C)cccc12, fitness: 10.337052489652935, logP: 7.058320000000006, sas: 2.1876315596720435, ringP: 0, discrm: [0.42095852]
index: 13,  smile: c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2)cc1, fitness: 10.604918680301111, logP: 6.687600000000005, sas: 1.052922015068658, ringP: 0, discrm: [0.36121938]
index: 14,  smile: CCc1ccccc1-c1cccc2c(C=CC=CC=CC=Cc3ccccc3)cccc12, fitness: 10.401744336187894, logP: 8.9082, sas: 2.5228302444202306, ringP: 0, discrm: [0.36107457]
index: 15,  smile: Cc1ccccc1CC(F)=Cc1ccccc1C=CC=CCC=CC=CC=CC=CC=CC=CS, fitness: 10.523936848722776, logP: 9.732119999999993, sas: 3.7380846510246233, ringP: 0, discrm: [0.43273667]
