index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 7.700296417998198, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.5403202]
index: 3,  smile: c1ccc(-c2ccccc2)cc1, fitness: 8.875989943655602, logP: 3.353600000000001, sas: 1.0, ringP: 0, discrm: [0.5619303]
index: 4,  smile: Cc1ccccc1-c1ccccc1, fitness: 8.783594456911578, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.54919106]
index: 5,  smile: Cc1ccccc1-c1ccccc1, fitness: 8.479070988894, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.5187387]
index: 6,  smile: CCc1ccccc1-c1ccccc1, fitness: 8.37619612065188, logP: 3.916000000000003, sas: 1.292069328656492, ringP: 0, discrm: [0.50738925]
index: 7,  smile: C=CC=CC=Cc1ccccc1-c1ccccc1, fitness: 8.252425462758062, logP: 5.1090000000000035, sas: 2.206866224250261, ringP: 0, discrm: [0.5208793]
index: 8,  smile: c1ccc(Sc2ccccc2-c2ccccc2)cc1, fitness: 9.017820702800844, logP: 5.504800000000004, sas: 1.6008076479779572, ringP: 0, discrm: [0.49650013]
index: 9,  smile: CC=CCc1ccccc1CC=Cc1cccc2ccccc12, fitness: 8.844172049497072, logP: 6.214300000000005, sas: 2.3292671485394454, ringP: 0, discrm: [0.51672006]
index: 10,  smile: c1ccc(-c2ccccc2Nc2cccc3ccccc23)cc1, fitness: 8.76010289405464, logP: 6.2504000000000035, sas: 1.5990735522380461, ringP: 0, discrm: [0.4178563]
index: 11,  smile: C=CCc1ccccc1C=Cc1ccccc1C=CC=Cc1ccccc1, fitness: 8.314127028410184, logP: 7.312100000000006, sas: 2.461725000299559, ringP: 0, discrm: [0.4021221]
index: 12,  smile: CNOCCSC=Cc1ccccc1C=CC=CC=Cc1ccccc1, fitness: 8.339902383395648, logP: 5.824300000000005, sas: 3.139242476476648, ringP: 0, discrm: [0.5913514]
index: 13,  smile: CCc1ccccc1C=CC=CC=Cc1cccc2c(-c3ccccc3S)cccc12, fitness: 7.946112267346457, logP: 8.6407, sas: 2.6838266114637666, ringP: 0, discrm: [0.29821742]
index: 14,  smile: CNOCCSSC=Cc1ccccc1C=CC=CC=Cc1ccccc1, fitness: 8.306270121645788, logP: 6.4725000000000055, sas: 3.2881119233764835, ringP: 0, discrm: [0.56012666]
index: 15,  smile: CNOCCSSC=Cc1ccccc1C=CC=COC=Cc1ccccc1, fitness: 7.711734319102002, logP: 6.404100000000006, sas: 3.5371044862752674, ringP: 0, discrm: [0.5354802]
index: 16,  smile: CNOCCSSC=Cc1ccccc1CSC=CC=Cc1ccccc1, fitness: 7.89637109673053, logP: 6.650000000000006, sas: 3.44949750029956, ringP: 0, discrm: [0.5260286]
index: 17,  smile: CNOCCSSC=Cc1ccccc1CSC=CC=CC1=CCOC=C1, fitness: 8.016193726566945, logP: 5.963100000000005, sas: 4.279017115684175, ringP: 0, discrm: [0.6863927]
index: 18,  smile: CCCCc1cnccc1Nc1ccnc2ccncc12, fitness: 8.543518793617732, logP: 4.111000000000002, sas: 2.3824813375537577, ringP: 0, discrm: [0.6416215]
index: 19,  smile: CCCCc1cnccc1Nc1ccnc2ccncc12, fitness: 8.750310671364314, logP: 4.111000000000002, sas: 2.3824813375537577, ringP: 0, discrm: [0.6623007]
index: 20,  smile: FCCc1cnccc1-c1ccccc1Nc1ccnc2ccncc12, fitness: 9.357695610503875, logP: 4.947400000000004, sas: 2.600749369583541, ringP: 0, discrm: [0.69023955]
index: 21,  smile: CCc1ccccc1-c1ccccc1CCC=Cc1ccccc1-c1ccccc1C=Cc1ccccc1Cc1cccc2c1CSC=C2S, fitness: 9.18474871257252, logP: 13.465199999999976, sas: 3.3737427796188673, ringP: 0, discrm: [0.16437483]
index: 22,  smile: CC1=CSCC=C1C=CC=CCc1ccccc1-c1ccccc1C=CC=Cc1ccccc1C=Cc1ccccc1Cc1ccccc1-c1ccccc1, fitness: 9.654010372279284, logP: 14.74029999999997, sas: 3.6580693330431906, ringP: 0, discrm: [0.15546776]
index: 23,  smile: SC1=CSCc2c(Oc3ccccc3C=CSC=Cc3ccccc3C3C4=CCC43)cccc21, fitness: 10.075445424048313, logP: 9.372199999999998, sas: 4.3510862143425495, ringP: 0, discrm: [0.6602025]
index: 24,  smile: CCc1ccccc1-c1ccccc1CCC=CC=Cc1cccc2c(-c3ccccc3NCc3ccccc3CCc3ccccc3CSC=CF)cccc12, fitness: 9.964097680603281, logP: 15.00959999999997, sas: 3.453309425057081, ringP: 0, discrm: [0.14280452]
index: 25,  smile: C(=Cc1ccccc1Oc1cccc2c1CSC1=C2S1)SC=Cc1ccccc1C1C2=CCC21, fitness: 11.370454889175504, logP: 9.516899999999996, sas: 4.297457894464407, ringP: 0, discrm: [0.77302676]
index: 26,  smile: CCc1ccccc1-c1ccccc1-c1ccccc1C=CCC=Cc1ccccc1-c1ccccc1C=Cc1ccccc1CC=CC=CC=C1CSC=C1S, fitness: 9.931115377890329, logP: 15.636399999999966, sas: 3.7537653906683284, ringP: 0, discrm: [0.1314056]
index: 27,  smile: C(=Cc1ccccc1Oc1cccc2c1CSC1=C2S1)SC=Cc1ccccc1C1C2=CCC21, fitness: 11.268614393112271, logP: 9.516899999999996, sas: 4.297457894464407, ringP: 0, discrm: [0.7628427]
index: 28,  smile: CCc1ccccc1-c1ccccc1-c1ccccc1C=CCc1ccccc1C=Cc1ccccc1-c1ccccc1NC=CCc1ccccc1CSC=CS, fitness: 9.91678849710663, logP: 15.478799999999968, sas: 3.5937499814395473, ringP: 0, discrm: [0.12184048]
index: 29,  smile: C(=Cc1ccccc1Oc1cccc2c1CSC1=C2S1)SC=Cc1ccccc1C1C2=CCN21, fitness: 11.672844674614295, logP: 8.727600000000002, sas: 4.388671146558848, ringP: 0, discrm: [0.8699966]
index: 30,  smile: CCCc1ccccc1-c1ccccc1-c1ccccc1C=CCc1ccccc1C=Cc1ccccc1-c1ccccc1NC=CCc1ccccc1CSC=CS, fitness: 10.078696245963362, logP: 15.86889999999997, sas: 3.641527271869373, ringP: 0, discrm: [0.11622954]
index: 31,  smile: C=Cc1ccccc1NSc1ccccc1Cc1ccncc1C=Cc1cccnc1N=NCOSS, fitness: 11.517656278021173, logP: 8.550800000000002, sas: 3.844757989079824, ringP: 0, discrm: [0.8014846]
index: 32,  smile: COc1ccccc1-c1ccccc1-c1ccncc1CSc1cccnc1N=NCOSSC, fitness: 11.673581664881135, logP: 8.095500000000007, sas: 3.3155183943800672, ringP: 0, discrm: [0.78552145]
index: 33,  smile: C=CSc1ccccc1SC=CCCC=CC=Cc1ccccc1C=Cc1ccccc1C=CCCC=Cc1cccc2c(CCCc3ccccc3C)cccc12, fitness: 10.436476784787004, logP: 16.89191999999997, sas: 3.7984663797661886, ringP: 0, discrm: [0.09864329]
index: 34,  smile: C=Cc1ccccc1ONc1ccccc1Sc1ccncc1C=Cc1cccnc1N=NCOSSO, fitness: 11.451839995885516, logP: 8.674300000000002, sas: 3.9234936591945164, ringP: 0, discrm: [0.79565877]
index: 35,  smile: C=CSc1ccccc1SC=CCCC=CC=Cc1ccccc1-c1ccccc1C=Cc1ccccc1C=CCCC=CC=CC=CCCSCc1ccccc1C, fitness: 10.73502857836753, logP: 17.509119999999974, sas: 4.0346868323089335, ringP: 0, discrm: [0.11334264]
index: 36,  smile: C=CSc1ccccc1SC=CCCC=CC=Cc1ccccc1-c1ccccc1C=Cc1ccccc1C=CCCC=CC=CC=CCCSCc1ccccc1C, fitness: 10.63043017539054, logP: 17.509119999999974, sas: 4.0346868323089335, ringP: 0, discrm: [0.10288279]
index: 37,  smile: CCc1ccccc1-c1ccccc1C=CC=CC=C(C)CCC=Cc1ccccc1Nc1ccccc1NC=Cc1ccccc1SCC=CC=Cc1cscc1S, fitness: 11.804847419799126, logP: 16.463599999999975, sas: 3.998769831567226, ringP: 0, discrm: [0.28984773]
index: 38,  smile: OSSOCN=Nc1ncccc1C=Cc1cnccc1Sc1ccncc1NOc1ccccc1, fitness: 11.258206304630622, logP: 7.426300000000004, sas: 3.8529622855955807, ringP: 0, discrm: [0.855953]
index: 39,  smile: CSSOCN=Nc1ncccc1SSSCc1cncc2c(Cc3ccccc3NOO)cccc12, fitness: 11.692784672676247, logP: 8.609800000000003, sas: 4.0291100003712845, ringP: 0, discrm: [0.83702403]
index: 40,  smile: C=CSc1ccccc1SC=CCCC=CC=Cc1ccccc1-c1ccccc1C=Cc1ccccc1C=CCCC=CC=CC=C(C)SSCc1ccccc1C, fitness: 10.614684265606382, logP: 18.114819999999984, sas: 4.207400335546006, ringP: 0, discrm: [0.07931911]
