index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 30.460666672514797, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.56327146]
index: 3,  smile: c1ccc(-c2ccccc2)cc1, fitness: 31.069046050222987, logP: 3.353600000000001, sas: 1.0, ringP: 0, discrm: [0.5562472]
index: 4,  smile: c1ccc(Cc2cccc3ccccc23)cc1, fitness: 30.80566157842073, logP: 4.430600000000003, sas: 1.367786943831506, ringP: 0, discrm: [0.5446208]
index: 5,  smile: c1ccc(Cc2cccc3ccccc23)cc1, fitness: 29.972915072683424, logP: 4.430600000000003, sas: 1.367786943831506, ringP: 0, discrm: [0.5279659]
index: 6,  smile: c1ccc(Cc2cccc3ccccc23)cc1, fitness: 29.33721103215608, logP: 4.430600000000003, sas: 1.367786943831506, ringP: 0, discrm: [0.5152518]
index: 7,  smile: c1ccc(Cc2ccccc2-c2ccccc2)cc1, fitness: 28.06060610087532, logP: 4.944400000000004, sas: 1.375853801824114, ringP: 0, discrm: [0.4826558]
index: 8,  smile: CC=Cc1ccccc1N=Cc1ccccc1Cc1ccccc1F, fitness: 28.391238921618864, logP: 6.200200000000005, sas: 2.4698090865454514, ringP: 0, discrm: [0.49786848]
index: 9,  smile: CC=Cc1ccccc1Nc1ccccc1-c1cccc2c1NC=CS2, fitness: 28.86788073463234, logP: 7.119100000000004, sas: 2.862322995957168, ringP: 0, discrm: [0.5038714]
index: 10,  smile: CC=Cc1ccccc1Nc1ccccc1C=C1NC=CC2=C1NC=CS2, fitness: 29.885669587896317, logP: 5.940300000000004, sas: 3.438489807991867, ringP: 0, discrm: [0.5547522]
index: 11,  smile: CC=Cc1ccccc1Nc1ccccc1C=C1NC2=CC=C1NS2, fitness: 30.577046129712784, logP: 5.384100000000004, sas: 4.107026611734429, ringP: 0, discrm: [0.59253365]
index: 12,  smile: OC=Cc1ccccc1Nc1ccccc1C=C1NC2=CC=C1NS2, fitness: 31.493496187484066, logP: 4.879700000000002, sas: 4.2487607073685245, ringP: 0, discrm: [0.62140065]
index: 13,  smile: OC=Cc1ccncc1Nc1ccccc1C=C1NC2=CC=C1NS2, fitness: 32.95442808853562, logP: 4.274700000000002, sas: 4.47662349323131, ringP: 0, discrm: [0.66465217]
index: 14,  smile: OC=Cc1ccncc1Nc1ccccc1C=C1NC2=CC=C1NS2, fitness: 32.41717375503953, logP: 4.274700000000002, sas: 4.47662349323131, ringP: 0, discrm: [0.6539071]
index: 15,  smile: OC=Cc1ccncc1Nc1ccccc1C=C1NC2=CC=C1NS2, fitness: 31.191584002842262, logP: 4.274700000000002, sas: 4.47662349323131, ringP: 0, discrm: [0.6293953]
index: 16,  smile: CC=CCSC=Cc1cnccc1-c1ccccc1CSc1cccnc1CSF, fitness: 33.46120455911047, logP: 7.833600000000005, sas: 3.4728284033675614, ringP: 0, discrm: [0.6003441]
index: 17,  smile: CC=CCSC=Cc1cnccc1-c1ccccc1OCSc1cccnc1CSF, fitness: 35.24063748441774, logP: 7.669900000000005, sas: 3.594585529468839, ringP: 0, discrm: [0.6411769]
index: 18,  smile: CC=CCSCSc1cnccc1-c1ccccc1CSc1cccnc1CSF, fitness: 35.1479668147841, logP: 7.912500000000007, sas: 3.409551480290639, ringP: 0, discrm: [0.63144124]
